,predict proba,predict value
TCGA-4C-A93U-01,0.9999996423721313,N1
TCGA-BJ-A0YZ-01,0.989170491695404,N1
TCGA-BJ-A0Z0-01,0.999182403087616,N1
TCGA-BJ-A0Z2-01,0.28562331199645996,N0
TCGA-BJ-A0Z3-01,0.984119713306427,N1
TCGA-BJ-A0Z5-01,0.06178896874189377,N0
TCGA-BJ-A0Z9-01,0.0002464815916027874,N0
TCGA-BJ-A0ZA-01,0.9497950673103333,N1
TCGA-BJ-A0ZB-01,0.998505711555481,N1
TCGA-BJ-A0ZC-01,0.9993953704833984,N1
TCGA-BJ-A0ZE-01,1.992322359001264e-05,N0
TCGA-BJ-A0ZF-01,0.9993270635604858,N1
TCGA-BJ-A0ZG-01,0.9996175765991211,N1
TCGA-BJ-A0ZH-01,0.671772837638855,N1
TCGA-BJ-A0ZJ-01,0.0010911303106695414,N0
TCGA-BJ-A18Y-01,0.9991251826286316,N1
TCGA-BJ-A18Z-01,0.9976886510848999,N1
TCGA-BJ-A190-01,1.1738644388969988e-05,N0
TCGA-BJ-A191-01,0.7822073101997375,N1
TCGA-BJ-A28R-01,0.9887852668762207,N1
TCGA-BJ-A28S-01,4.078338861290831e-06,N0
TCGA-BJ-A28T-01,0.9693320393562317,N1
TCGA-BJ-A28V-01,2.1872580135973152e-10,N0
TCGA-BJ-A28W-01,1.2064197107974906e-05,N0
TCGA-BJ-A28X-01,0.016240911558270454,N0
TCGA-BJ-A28Z-01,0.5821675658226013,N1
TCGA-BJ-A290-01,0.9979314804077148,N1
TCGA-BJ-A291-01,0.9992806315422058,N1
TCGA-BJ-A2N7-01,0.9210031628608704,N1
TCGA-BJ-A2N8-01,4.86547560285544e-06,N0
TCGA-BJ-A2N9-01,0.05680164694786072,N0
TCGA-BJ-A2NA-01,0.8690487742424011,N1
TCGA-BJ-A2P4-01,0.9990140199661255,N1
TCGA-BJ-A3EZ-01,0.9971152544021606,N1
TCGA-BJ-A3F0-01,0.0031327279284596443,N0
TCGA-BJ-A3PR-01,0.7024409174919128,N1
TCGA-BJ-A3PT-01,0.9979477524757385,N1
TCGA-BJ-A3PU-01,0.9940370321273804,N1
TCGA-BJ-A45C-01,0.9996508359909058,N1
TCGA-BJ-A45D-01,0.999372661113739,N1
TCGA-BJ-A45E-01,5.039823372499086e-05,N0
